MissionName,MissionTime,Altitude,Pressure(Atm),Pressure(kPa)
Prodigal A-II,407.643,124543.373853526,1.8584890299683E-08,1.88311400961538E-06
Prodigal A-II,407.703,124481.37684113,1.8704118704555E-08,1.89519482773903E-06
Prodigal A-II,407.763,124419.347879755,1.882350643369E-08,1.90729178939364E-06
Prodigal A-II,407.883,124295.194107793,1.90628294288641E-08,1.93154119187966E-06
Prodigal A-II,407.943,124233.069308044,1.91827400108625E-08,1.94369113160064E-06
Prodigal A-II,408.003,124170.912567685,1.93028188931388E-08,1.95585812434729E-06
Prodigal A-II,408.063,124108.723887987,1.94230570996781E-08,1.96804126062489E-06
Prodigal A-II,408.123,124046.503268109,1.95434680945028E-08,1.98024190467549E-06
Prodigal A-II,408.183,123984.250707076,1.96640227055646E-08,1.99245710064133E-06
Prodigal A-II,408.243,123921.966203832,1.97847276648746E-08,2.00468753064342E-06
Prodigal A-II,408.303,123859.649757196,1.99056009244626E-08,2.01693501367117E-06
Prodigal A-II,408.423,123734.921033077,2.01477693163351E-08,2.04147272597766E-06
Prodigal A-II,408.483,123672.50875162,2.02690756686382E-08,2.05376409212477E-06
Prodigal A-II,408.543,123610.064523205,2.0390521149171E-08,2.06606955543975E-06
Prodigal A-II,408.603,123547.588347438,2.05121012699262E-08,2.07838866117527E-06
Prodigal A-II,408.663,123485.080223708,2.06338160309036E-08,2.09072140933131E-06
Prodigal A-II,408.723,123422.540151295,2.07556631880997E-08,2.1030675725342E-06
Prodigal A-II,408.783,123359.968129556,2.08776360095033E-08,2.11542646866292E-06
Prodigal A-II,408.843,123297.3641575,2.09997344951143E-08,2.12779809771746E-06
Prodigal A-II,408.963,123172.060354766,2.12443107029627E-08,2.15257978197769E-06
Prodigal A-II,409.023,123109.36052044,2.13667816931888E-08,2.16498915506236E-06
Prodigal A-II,409.083,123046.62872366,2.14893648836002E-08,2.1774098968308E-06
Prodigal A-II,409.143,122983.864964088,2.1612044566171E-08,2.18984041566728E-06
Prodigal A-II,409.203,122921.069240722,2.17348454249418E-08,2.20228321268223E-06
Prodigal A-II,409.263,122858.241553119,2.18577539958905E-08,2.21473692363361E-06
Prodigal A-II,409.323,122795.381904797,2.19807613030023E-08,2.22720063902671E-06
Prodigal A-II,409.383,122732.490298248,2.2103867346277E-08,2.23967435886152E-06
Prodigal A-II,409.443,122669.566734595,2.22270698817111E-08,2.25215785576438E-06
Prodigal A-II,409.563,122543.623737454,2.2473766673061E-08,2.27715440814791E-06
Prodigal A-II,409.623,122480.604314304,2.25972541969657E-08,2.28966678150755E-06
Prodigal A-II,409.683,122417.55293953,2.27208090409815E-08,2.30218597607745E-06
Prodigal A-II,409.743,122354.46961139,2.28444603771567E-08,2.3147149477154E-06
Prodigal A-II,409.803,122291.35434494,2.29681902534615E-08,2.32725187743199E-06
Prodigal A-II,409.863,122228.207151433,2.30919784738627E-08,2.33979471886414E-06
Prodigal A-II,409.923,122165.028036259,2.32158542104084E-08,2.35234642786963E-06
Prodigal A-II,409.983,122101.816981697,2.33397972670653E-08,2.36490495808539E-06
Prodigal A-II,410.103,121975.298994532,2.35878943167273E-08,2.39004339164239E-06
Prodigal A-II,410.163,121911.99205091,2.37120348457102E-08,2.40262193074159E-06
Prodigal A-II,410.223,121848.65313488,2.38366533474824E-08,2.41524890043365E-06
Prodigal A-II,410.283,121785.282245886,2.39620370545181E-08,2.42795340454904E-06
Prodigal A-II,410.343,121721.879383108,2.40881792348062E-08,2.44073476096673E-06
Prodigal A-II,410.403,121658.444546294,2.42151270124245E-08,2.45359774453391E-06
Prodigal A-II,410.463,121594.977734553,2.43428826313767E-08,2.46654258262424E-06
Prodigal A-II,410.523,121531.478947531,2.44714617996888E-08,2.47957086685346E-06
Prodigal A-II,410.643,121404.385444754,2.47311715685259E-08,2.50588595918089E-06
Prodigal A-II,410.703,121340.790728017,2.48623380731102E-08,2.51917640525789E-06
Prodigal A-II,410.763,121277.164033156,2.49944021791767E-08,2.53255780080508E-06
Prodigal A-II,410.823,121213.505360347,2.51273840827587E-08,2.54603219218552E-06
Prodigal A-II,410.883,121149.814713009,2.52613174439117E-08,2.55960299000435E-06
Prodigal A-II,410.943,121086.092091338,2.53961865546098E-08,2.57326860264584E-06
Prodigal A-II,411.003,121022.337494881,2.55320430269383E-08,2.58703425970452E-06
Prodigal A-II,411.063,120958.550923263,2.56688756408786E-08,2.60089882431203E-06
Prodigal A-II,411.123,120894.732375861,2.58067292765049E-08,2.61486684394185E-06
Prodigal A-II,411.243,120766.99935086,2.60855444928892E-08,2.643117795742E-06
Prodigal A-II,411.303,120703.084866628,2.62265419777066E-08,2.65740436589113E-06
Prodigal A-II,411.363,120639.138403518,2.63686188283063E-08,2.67180030277814E-06
Prodigal A-II,411.423,120575.159961265,2.65118176807587E-08,2.68630992650287E-06
Prodigal A-II,411.483,120511.149539039,2.6656120583034E-08,2.70093141807592E-06
Prodigal A-II,411.543,120447.107136198,2.68015634391917E-08,2.7156684154761E-06
